pin,slack
blinker[11]:ALn,
blinker[11]:CLK,14234
blinker[11]:D,17224
blinker[11]:EN,
blinker[11]:LAT,
blinker[11]:Q,14234
blinker[11]:SD,
blinker[11]:SLn,
un2_blinker_cry_13:A,
un2_blinker_cry_13:B,17194
un2_blinker_cry_13:C,
un2_blinker_cry_13:D,
un2_blinker_cry_13:FCI,16939
un2_blinker_cry_13:FCO,16939
un2_blinker_cry_13:S,17186
main.un9_blinker:A,15329
main.un9_blinker:B,13877
main.un9_blinker:C,15095
main.un9_blinker:D,14983
main.un9_blinker:Y,13877
un2_blinker_cry_18:A,
un2_blinker_cry_18:B,17289
un2_blinker_cry_18:C,
un2_blinker_cry_18:D,
un2_blinker_cry_18:FCI,16939
un2_blinker_cry_18:FCO,16939
un2_blinker_cry_18:S,17091
blink_0:A,13877
blink_0:B,17550
blink_0:Y,13877
blinker[7]:ADn,
blinker[7]:ALn,
blinker[7]:CLK,15384
blinker[7]:D,17300
blinker[7]:EN,
blinker[7]:LAT,
blinker[7]:Q,15384
blinker[7]:SD,
blinker[7]:SLn,14576
un2_blinker_cry_6:A,
un2_blinker_cry_6:B,17061
un2_blinker_cry_6:C,
un2_blinker_cry_6:D,
un2_blinker_cry_6:FCI,16939
un2_blinker_cry_6:FCO,16939
un2_blinker_cry_6:S,17319
main.un9_blinker_18:A,14234
main.un9_blinker_18:B,14184
main.un9_blinker_18:C,14087
main.un9_blinker_18:D,13969
main.un9_blinker_18:Y,13969
CLK_50M_ibuf/U0/U_IOPAD:PAD,
CLK_50M_ibuf/U0/U_IOPAD:Y,
un2_blinker_cry_17:A,
un2_blinker_cry_17:B,17270
un2_blinker_cry_17:C,
un2_blinker_cry_17:D,
un2_blinker_cry_17:FCI,16939
un2_blinker_cry_17:FCO,16939
un2_blinker_cry_17:S,17110
blinker[14]:ADn,
blinker[14]:ALn,
blinker[14]:CLK,15187
blinker[14]:D,17167
blinker[14]:EN,
blinker[14]:LAT,
blinker[14]:Q,15187
blinker[14]:SD,
blinker[14]:SLn,14576
un2_blinker_cry_9:A,
un2_blinker_cry_9:B,17118
un2_blinker_cry_9:C,
un2_blinker_cry_9:D,
un2_blinker_cry_9:FCI,16939
un2_blinker_cry_9:FCO,16939
un2_blinker_cry_9:S,17262
blinker[8]:ADn,
blinker[8]:ALn,
blinker[8]:CLK,13969
blinker[8]:D,17281
blinker[8]:EN,
blinker[8]:LAT,
blinker[8]:Q,13969
blinker[8]:SD,
blinker[8]:SLn,
main.un9_blinker_16:A,14378
main.un9_blinker_16:B,14278
main.un9_blinker_16:C,14231
main.un9_blinker_16:D,14133
main.un9_blinker_16:Y,14133
main.un9_blinker_24:A,14133
main.un9_blinker_24:B,14042
main.un9_blinker_24:C,13969
main.un9_blinker_24:D,13877
main.un9_blinker_24:Y,13877
CLK_50M_ibuf_RNIGNF3/U0:An,
CLK_50M_ibuf_RNIGNF3/U0:ENn,
CLK_50M_ibuf_RNIGNF3/U0:YWn,
blinker[20]:ADn,
blinker[20]:ALn,
blinker[20]:CLK,14134
blinker[20]:D,17053
blinker[20]:EN,
blinker[20]:LAT,
blinker[20]:Q,14134
blinker[20]:SD,
blinker[20]:SLn,14576
un2_blinker_cry_22:A,
un2_blinker_cry_22:B,17365
un2_blinker_cry_22:C,
un2_blinker_cry_22:D,
un2_blinker_cry_22:FCI,16939
un2_blinker_cry_22:FCO,16939
un2_blinker_cry_22:S,17015
blinker[6]:ADn,
blinker[6]:ALn,
blinker[6]:CLK,15248
blinker[6]:D,17319
blinker[6]:EN,
blinker[6]:LAT,
blinker[6]:Q,15248
blinker[6]:SD,
blinker[6]:SLn,
main.un9_blinker_19:A,15248
main.un9_blinker_19:B,15198
main.un9_blinker_19:C,15101
main.un9_blinker_19:D,14983
main.un9_blinker_19:Y,14983
ip_interface_inst:A,
ip_interface_inst:B,
ip_interface_inst:C,
un2_blinker_cry_2:A,
un2_blinker_cry_2:B,16985
un2_blinker_cry_2:C,
un2_blinker_cry_2:D,
un2_blinker_cry_2:FCI,16939
un2_blinker_cry_2:FCO,16939
un2_blinker_cry_2:S,17395
un2_blinker_cry_12:A,
un2_blinker_cry_12:B,17175
un2_blinker_cry_12:C,
un2_blinker_cry_12:D,
un2_blinker_cry_12:FCI,16939
un2_blinker_cry_12:FCO,16939
un2_blinker_cry_12:S,17205
main.un9_blinker_17:A,14142
main.un9_blinker_17:B,14092
main.un9_blinker_17:C,13995
main.un9_blinker_17:D,13877
main.un9_blinker_17:Y,13877
blinker[23]:ADn,
blinker[23]:ALn,
blinker[23]:CLK,14133
blinker[23]:D,16996
blinker[23]:EN,
blinker[23]:LAT,
blinker[23]:Q,14133
blinker[23]:SD,
blinker[23]:SLn,14576
un2_blinker_s_26:A,
un2_blinker_s_26:B,17404
un2_blinker_s_26:C,
un2_blinker_s_26:D,
un2_blinker_s_26:FCI,16939
un2_blinker_s_26:S,16939
blinker[4]:ADn,
blinker[4]:ALn,
blinker[4]:CLK,15101
blinker[4]:D,17357
blinker[4]:EN,
blinker[4]:LAT,
blinker[4]:Q,15101
blinker[4]:SD,
blinker[4]:SLn,
blinker[0]:ADn,
blinker[0]:ALn,
blinker[0]:CLK,15329
blinker[0]:D,17616
blinker[0]:EN,
blinker[0]:LAT,
blinker[0]:Q,15329
blinker[0]:SD,
blinker[0]:SLn,14576
un2_blinker_cry_1:A,
un2_blinker_cry_1:B,16966
un2_blinker_cry_1:C,
un2_blinker_cry_1:D,
un2_blinker_cry_1:FCI,16939
un2_blinker_cry_1:FCO,16939
un2_blinker_cry_1:S,17422
blinker[1]:ADn,
blinker[1]:ALn,
blinker[1]:CLK,13877
blinker[1]:D,17422
blinker[1]:EN,
blinker[1]:LAT,
blinker[1]:Q,13877
blinker[1]:SD,
blinker[1]:SLn,
blinker[26]:ADn,
blinker[26]:ALn,
blinker[26]:CLK,14378
blinker[26]:D,16939
blinker[26]:EN,
blinker[26]:LAT,
